step,loss,lr,grad_norm,logits_max,has_nan,has_inf,time_sec
1,11.034212112426758,0.0003,1.6632462095750091,2.9835915565490723,0,0,1.373471975326538
10,10.919466018676758,0.0003,1.6711100982205054,2.868518590927124,0,0,10.507838010787964
20,10.968063354492188,0.0003,1.7739118959396714,3.1098644733428955,0,0,19.67406725883484
30,11.05615520477295,0.0003,1.6988531158003968,3.0948190689086914,0,0,29.36198902130127
40,11.033337593078613,0.0003,1.6429013156192172,3.2955374717712402,0,0,38.53744888305664
50,10.964241027832031,0.0003,1.644914801101107,3.301436185836792,0,0,47.76203799247742
60,10.784538269042969,0.0003,1.5396080293261483,3.141735315322876,0,0,56.95033097267151
70,10.664551734924316,0.0003,1.4375116883465573,3.31040096282959,0,0,65.96744203567505
80,10.765811920166016,0.0003,1.538425465046011,3.6605284214019775,0,0,75.12166810035706
90,10.755252838134766,0.0003,1.4382403079404023,3.8575146198272705,0,0,83.94857406616211
100,10.66126823425293,0.0003,1.6342077120218357,3.7330353260040283,0,0,92.77951097488403
110,10.599649429321289,0.0003,1.5027165524622144,4.0182785987854,0,0,101.47542595863342
120,10.566621780395508,0.0003,1.748195814141341,4.32135534286499,0,0,110.07086992263794
130,10.458025932312012,0.0003,2.2392742744962226,4.211747646331787,0,0,118.13061594963074
140,10.474554061889648,0.0003,2.0082234147890943,4.59884786605835,0,0,126.14626002311707
150,10.522500038146973,0.0003,2.4563825839925704,4.684961795806885,0,0,134.22530913352966
160,10.475631713867188,0.0003,1.9526850550936083,4.978270530700684,0,0,142.08794689178467
170,10.452733993530273,0.0003,2.7307575540947475,4.7878828048706055,0,0,149.9394280910492
180,10.425804138183594,0.0003,2.4439957121657288,4.645847797393799,0,0,157.76171898841858
190,10.341174125671387,0.0003,2.84260513009003,4.7558088302612305,0,0,165.72500610351562
200,10.453803062438965,0.0003,2.0176892870322902,4.719852924346924,0,0,173.75494599342346
