step,loss,val_loss,grad_norm,logits_max,n_masked,masked_ratio
0,11.1790132522583,11.209896087646484,1.961878714745398,2.1169004440307617,480,0.15409309791332262
1000,5.596680217266083,6.125259113311768,1.983445489511557,13.207660675048828,528,0.15181138585393905
2000,4.574783771514893,4.686804461479187,2.504080101828759,15.075948715209961,482,0.15209845377090564
3000,3.775609039306641,4.639923429489135,2.9591075371689692,17.17181396484375,473,0.13911764705882354
4000,3.4250439455509185,4.459749698638916,3.3011238124852635,18.676572799682617,498,0.144473455178416
5000,3.229642239332199,4.266581583023071,3.0074360921375476,19.171815872192383,506,0.1407119021134594
6000,3.089770120382309,4.065099120140076,2.7145381369781534,20.90713119506836,556,0.1540592962039346
7000,2.9822066249847414,4.1968320369720455,2.8380603657320065,21.41803550720215,474,0.15265700483091788
8000,2.89439470243454,3.601833462715149,3.4894796882096184,23.014902114868164,514,0.14723574906903467
9000,2.805059339761734,3.2380368232727053,2.8080217495224193,22.06149673461914,506,0.1527777777777778
10000,2.7199457750320435,3.3242217779159544,2.7695919326002088,23.409650802612305,532,0.14939623701207527
11000,2.6522049262523653,3.3558897018432616,2.8992643644743965,24.008506774902344,428,0.1464249059185768
12000,2.604612420082092,3.4382506132125856,2.6258966571334943,25.595569610595703,483,0.14953560371517027
13000,2.567524882555008,3.7799091815948485,2.6231435122154516,25.98822021484375,461,0.15490591397849462
14000,2.532316928386688,3.257938766479492,3.4205465416290024,25.013940811157227,427,0.15099009900990099
15000,2.508869324207306,3.447654390335083,2.7118631470603156,25.516014099121094,441,0.1397338403041825
16000,2.4869325625896455,3.6622204303741457,2.8059744683443966,27.258390426635742,543,0.15125348189415042
17000,2.4477028200626374,3.792678713798523,2.752251182893799,26.071107864379883,607,0.15973684210526315
18000,2.4312209815979005,3.232812690734863,3.0027983168073673,26.817615509033203,471,0.1408914148967993
19000,2.4024709401130675,3.075958800315857,2.8841849668767514,27.70852279663086,470,0.13963161021984552
20000,2.3993318055868147,3.262075138092041,2.811815792410394,26.804649353027344,461,0.14299007444168735
21000,2.3691090041399003,3.375663900375366,2.802131075667238,26.212610244750977,526,0.14713286713286713
22000,2.3566457146406172,3.4080257177352906,2.9485059076453903,27.183256149291992,494,0.1486161251504212
23000,2.344957177042961,3.096515107154846,2.600311151781901,28.21723175048828,505,0.15169720636827877
24000,2.3241389129161836,2.9917592644691466,2.5348863356146136,29.284883499145508,523,0.1442758620689655
25000,2.312613920211792,3.1880544304847716,3.1134027116547567,26.825326919555664,488,0.14416543574593796
26000,2.3111454764604566,2.9528839349746705,2.345143955058175,28.641128540039062,589,0.1552860532559979
27000,2.2895096893310547,3.4759095668792725,2.8133997513985456,28.668598175048828,477,0.15598430346631786
28000,2.275098081946373,2.6881898760795595,2.9825387671614854,28.03227996826172,448,0.14592833876221498
29000,2.267807683825493,3.268004369735718,2.6978436066616993,27.207420349121094,512,0.15552855407047386
30000,2.2554440395832063,2.9963821172714233,3.072034688043799,28.135250091552734,385,0.13903936439147707
31000,2.232251657485962,3.5706372261047363,2.641160346948853,27.835847854614258,574,0.153475935828877
32000,2.2255111598968504,2.844236445426941,2.8579342583292235,28.532917022705078,500,0.15225334957369063
33000,2.2087979927062986,3.5706441402435303,2.6500440099374902,29.49330711364746,465,0.14899070810637616
34000,2.202137991309166,3.0891307592391968,2.750844886244445,26.589256286621094,535,0.1481173864894795
35000,2.1934284662008285,2.807327938079834,2.418236979840858,28.39168357849121,522,0.15254237288135594
36000,2.1907548553943634,2.8494685173034666,3.071929526951842,26.74860191345215,344,0.14751286449399656
37000,2.1814084899425508,2.670559024810791,2.7120025365321023,29.518268585205078,495,0.14244604316546763
38000,2.164185359120369,2.8937652707099915,2.4900574912210462,28.76211929321289,504,0.13895781637717122
39000,2.167535144329071,3.333525276184082,2.896193104996655,28.328052520751953,419,0.14599303135888503
40000,2.1551935509443285,2.763043928146362,2.590093062635074,29.158628463745117,508,0.15069712251557402
41000,2.1402741787433626,3.0182270765304566,2.8739734154780803,29.047441482543945,415,0.1390284757118928
42000,2.133120352745056,2.4938029527664183,2.3124621214091268,28.37604331970215,572,0.15697036223929747
43000,2.1233782836198807,2.9560224533081056,2.621077062337135,27.189685821533203,534,0.1534041941970698
44000,2.1221592259407043,3.052467095851898,2.4003646224226873,29.32244873046875,512,0.1511216056670602
45000,2.1108005949258803,3.1108428120613096,2.6621010052917717,28.185909271240234,490,0.14064293915040182
46000,2.118238305091858,3.1640595197677612,2.5788359745050973,28.619037628173828,465,0.13716814159292035
47000,2.1082941563129425,2.997767996788025,2.57697076210153,27.38875961303711,450,0.14119861939127706
48000,2.106557103872299,2.9178346157073975,2.4569268545006584,30.265798568725586,490,0.15217391304347827
49000,2.103424087166786,2.665530633926392,2.4229189144486765,27.92028045654297,537,0.15042016806722688
50000,2.08006112241745,2.732347917556763,2.548069405778207,29.106428146362305,497,0.15203426124197003
51000,2.079136940121651,2.832258141040802,2.655449367809964,26.640901565551758,438,0.1456117021276596
52000,2.0748403761386873,3.1047217726707457,2.818469204601933,28.03322410583496,406,0.15160567587752055
53000,2.0748798887729647,2.398165154457092,2.515175506395557,29.388084411621094,533,0.15060751624752755
54000,2.064801844596863,2.6206830739974976,2.6496590416128534,28.522579193115234,539,0.15614136732329084
55000,2.0695448138713837,2.872138333320618,2.460677181150648,30.436105728149414,535,0.15684549985341542
56000,2.0597556928396226,3.0060446500778197,2.708202569878836,29.587629318237305,497,0.1403954802259887
