step,loss,val_loss,grad_norm,logits_max,n_masked,masked_ratio
0,11.171006202697754,11.20842924118042,1.9860004445816184,2.146491289138794,480,0.15409309791332262
1000,5.580148079395294,5.991709423065186,1.786648505116857,13.36814022064209,528,0.15181138585393905
2000,4.531966644763947,4.6457782745361325,2.3422711258089555,15.13926887512207,482,0.15209845377090564
3000,3.6388874263763427,4.624541974067688,2.5783550780761497,18.599184036254883,473,0.13911764705882354
4000,3.269659602165222,4.290226483345032,2.6319723343057966,20.574199676513672,498,0.144473455178416
5000,3.063123872756958,4.181895089149475,3.151060517831416,20.920860290527344,506,0.1407119021134594
6000,2.9184457240104673,3.7880361795425417,2.859976438555315,20.876815795898438,556,0.1540592962039346
7000,2.8105303626060487,3.9658594369888305,2.8025348640693,21.407146453857422,474,0.15265700483091788
8000,2.731784887075424,3.4375062942504884,3.317248222614603,21.827159881591797,514,0.14723574906903467
9000,2.6548904247283938,3.0931612253189087,2.968489363835576,21.58537483215332,506,0.1527777777777778
10000,2.5833621859550475,3.1266886472702025,2.638863466254412,22.983945846557617,532,0.14939623701207527
11000,2.525218764543533,3.360617470741272,2.942179243243911,22.009904861450195,428,0.1464249059185768
12000,2.4790727223157885,3.388342022895813,2.702638079855273,23.238086700439453,483,0.14953560371517027
13000,2.44097705578804,3.616350603103638,2.5789069947665695,23.25704002380371,461,0.15490591397849462
14000,2.406073754310608,3.193240761756897,3.4383419793320664,22.331043243408203,427,0.15099009900990099
15000,2.380275785803795,3.379474902153015,2.7910727500662715,24.672130584716797,441,0.1397338403041825
16000,2.354841456055641,3.4839142560958862,2.6142035702448254,25.023195266723633,543,0.15125348189415042
17000,2.313814049124718,3.7269006729125977,2.611737868936636,24.11387062072754,607,0.15973684210526315
18000,2.293001301407814,2.9934988021850586,2.6960795598640064,24.086105346679688,471,0.1408914148967993
19000,2.2637041720151903,3.027057147026062,2.776813764758679,23.595849990844727,470,0.13963161021984552
20000,2.2561746553182602,3.2225680351257324,2.6657025413431152,25.39401626586914,461,0.14299007444168735
21000,2.2258413804769517,3.4044100284576415,2.6645350519940023,25.482690811157227,526,0.14713286713286713
22000,2.2120532710552214,3.3163053512573244,2.5902875858349383,25.382291793823242,494,0.1486161251504212
23000,2.2019754835367205,3.0690154314041136,2.6444367258384087,25.24154281616211,505,0.15169720636827877
24000,2.180684231042862,2.8944922566413878,2.6722897400237877,24.78182029724121,523,0.1442758620689655
25000,2.1677784655094148,3.1094257831573486,2.921216855177763,24.12060546875,488,0.14416543574593796
26000,2.165666619062424,2.8480976104736326,2.425182151960132,23.656721115112305,589,0.1552860532559979
27000,2.1451314277648925,3.4147839307785035,2.796511388938697,24.95429229736328,477,0.15598430346631786
